Spatial,Linguistic,Logic,Kinesthetic,Music,Interpersonal,Intrapersonal,Naturalistic,Career Recommendation
1,2,1,3,2,2,3,5,"Biologist,Agriculture,Veterinary Medicine"
1,4,3,2,1,0,2,5,"Biologist,Agriculture,Veterinary Medicine"
2,1,3,1,2,0,2,4,"Biologist,Agriculture,Veterinary Medicine"
1,0,2,0,1,3,1,4,"Biologist,Agriculture,Veterinary Medicine"
0,3,1,3,0,2,0,4,"Biologist,Agriculture,Veterinary Medicine"
3,2,0,2,3,1,3,4,"Biologist,Agriculture,Veterinary Medicine"
2,1,3,1,2,0,2,4,"Biologist,Agriculture,Veterinary Medicine"
5,5,5,5,5,5,5,5,Competen in All Fields
4,4,4,4,4,4,4,4,Competen in All Fields
3,3,3,3,3,3,3,3,Average Skill in All Fields
0,0,0,0,0,0,0,0,Not Competent in All Fields
1,1,1,1,1,1,1,1,Not Competent in All Fields
2,2,2,2,2,2,2,2,Not Competent in All Fields
5,5,4,3,2,1,2,3,"Architect,Desainer,Aerospace, Journalist,Writer,Law"
5,5,3,2,1,0,3,2,"Architect,Desainer,Aerospace, Journalist,Writer,Law"
5,5,2,3,4,3,2,1,"Architect,Desainer,Aerospace, Journalist,Writer,Law"
5,5,1,2,1,3,2,2,"Architect,Desainer,Aerospace, Journalist,Writer,Law"
5,5,1,4,3,2,1,0,"Architect,Desainer,Aerospace, Journalist,Writer,Law"
1,5,5,3,2,1,2,3,"Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
2,5,5,2,1,0,3,2,"Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
0,5,5,3,4,3,2,1,"Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
3,5,5,2,1,3,2,2,"Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
2,5,5,4,3,2,1,0,"Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
3,1,5,5,3,2,1,2,"Data Scientist,Programmer,Engineering,Athlete,Therapist,Surgeon"
2,2,5,5,2,1,0,3,"Data Scientist,Programmer,Engineering,Athlete,Therapist,Surgeon"
1,0,5,5,3,4,3,2,"Data Scientist,Programmer,Engineering,Athlete,Therapist,Surgeon"
2,3,5,5,2,1,3,2,"Data Scientist,Programmer,Engineering,Athlete,Therapist,Surgeon"
0,2,5,5,4,3,2,1,"Data Scientist,Programmer,Engineering,Athlete,Therapist,Surgeon"
2,3,1,5,5,3,2,1,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
3,2,2,5,5,2,1,0,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
2,1,0,5,5,3,4,3,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
2,2,3,5,5,2,1,3,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
1,0,2,5,5,4,3,2,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
2,1,2,3,5,5,4,3,"Musician,Composer,Singer, Teacher,Counselor,Lecturers"
1,0,3,2,5,5,3,2,"Musician,Composer,Singer, Teacher,Counselor,Lecturers"
4,3,2,1,5,5,2,3,"Musician,Composer,Singer, Teacher,Counselor,Lecturers"
1,3,2,2,5,5,1,2,"Musician,Composer,Singer, Teacher,Counselor,Lecturers"
3,2,1,0,5,5,1,4,"Musician,Composer,Singer, Teacher,Counselor,Lecturers"
3,2,1,2,3,5,5,4,"Teacher,Counselor,Lecturers, Life Coach,Psychologist,Consultant"
2,1,0,3,2,5,5,3,"Teacher,Counselor,Lecturers, Life Coach,Psychologist,Consultant"
3,4,3,2,1,5,5,2,"Teacher,Counselor,Lecturers, Life Coach,Psychologist,Consultant"
2,1,3,2,2,5,5,1,"Teacher,Counselor,Lecturers, Life Coach,Psychologist,Consultant"
4,3,2,1,0,5,5,1,"Teacher,Counselor,Lecturers, Life Coach,Psychologist,Consultant"
4,3,2,1,2,3,5,5,"Life Coach,Psychologist,Consultant, Biologist,Agriculture,Veterinary Medicine"
3,2,1,0,3,2,5,5,"Life Coach,Psychologist,Consultant, Biologist,Agriculture,Veterinary Medicine"
2,3,4,3,2,1,5,5,"Life Coach,Psychologist,Consultant, Biologist,Agriculture,Veterinary Medicine"
1,2,1,3,2,2,5,5,"Life Coach,Psychologist,Consultant, Biologist,Agriculture,Veterinary Medicine"
1,4,3,2,1,0,5,5,"Life Coach,Psychologist,Consultant, Biologist,Agriculture,Veterinary Medicine"
5,4,3,2,1,2,3,5,"Architect,Desainer,Aerospace,Biologist,Agriculture,Veterinary Medicine"
5,3,2,1,0,3,2,5,"Architect,Desainer,Aerospace,Biologist,Agriculture,Veterinary Medicine"
5,2,3,4,3,2,1,5,"Architect,Desainer,Aerospace,Biologist,Agriculture,Veterinary Medicine"
5,1,2,1,3,2,2,5,"Architect,Desainer,Aerospace,Biologist,Agriculture,Veterinary Medicine"
5,1,4,3,2,1,0,5,"Architect,Desainer,Aerospace,Biologist,Agriculture,Veterinary Medicine"
1,5,4,3,2,1,2,5,"Journalist,Writer,Law,Biologist,Agriculture,Veterinary Medicine"
2,5,3,2,1,0,3,5,"Journalist,Writer,Law,Biologist,Agriculture,Veterinary Medicine"
0,5,2,3,4,3,2,5,"Journalist,Writer,Law,Biologist,Agriculture,Veterinary Medicine"
3,5,1,2,1,3,2,5,"Journalist,Writer,Law,Biologist,Agriculture,Veterinary Medicine"
2,5,1,4,3,2,1,5,"Journalist,Writer,Law,Biologist,Agriculture,Veterinary Medicine"
3,1,5,4,3,2,1,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
2,2,5,3,2,1,0,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
1,0,5,2,3,4,3,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
2,3,5,1,2,1,3,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
0,2,5,1,4,3,2,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
2,3,1,5,4,3,2,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
3,2,2,5,3,2,1,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
2,1,0,5,2,3,4,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
2,2,3,5,1,2,1,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
1,0,2,5,1,4,3,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
1,2,3,1,5,4,3,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
0,3,2,2,5,3,2,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
3,2,1,0,5,2,3,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
3,2,2,3,5,1,2,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
2,1,0,2,5,1,4,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
2,1,2,3,1,5,4,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
1,0,3,2,2,5,3,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
4,3,2,1,0,5,2,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
1,3,2,2,3,5,1,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
3,2,1,0,2,5,1,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
5,2,1,2,3,1,5,4,"Architect,Desainer,Aerospace,Life Coach,Psychologist,Consultant"
5,1,0,3,2,2,5,3,"Architect,Desainer,Aerospace,Life Coach,Psychologist,Consultant"
5,4,3,2,1,0,5,2,"Architect,Desainer,Aerospace,Life Coach,Psychologist,Consultant"
5,1,3,2,2,3,5,1,"Architect,Desainer,Aerospace,Life Coach,Psychologist,Consultant"
5,3,2,1,0,2,5,1,"Architect,Desainer,Aerospace,Life Coach,Psychologist,Consultant"
4,5,2,1,2,3,5,1,"Journalist,Writer,Law,Life Coach,Psychologist,Consultant"
3,5,1,0,3,2,5,2,"Journalist,Writer,Law,Life Coach,Psychologist,Consultant"
2,5,4,3,2,1,5,0,"Journalist,Writer,Law,Life Coach,Psychologist,Consultant"
1,5,1,3,2,2,5,3,"Journalist,Writer,Law,Life Coach,Psychologist,Consultant"
1,5,3,2,1,0,5,2,"Journalist,Writer,Law,Life Coach,Psychologist,Consultant"
1,4,5,2,1,2,5,3,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
2,3,5,1,0,3,5,2,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
0,2,5,4,3,2,5,1,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
3,1,5,1,3,2,5,2,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
2,1,5,3,2,1,5,0,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
1,2,3,1,4,3,5,2,"Athlete,Therapist,Surgeon,Life Coach,Psychologist,Consultant"
0,3,2,2,3,2,5,1,"Athlete,Therapist,Surgeon,Life Coach,Psychologist,Consultant"
3,2,1,0,2,3,5,4,"Athlete,Therapist,Surgeon,Life Coach,Psychologist,Consultant"
3,2,2,3,1,2,5,1,"Athlete,Therapist,Surgeon,Life Coach,Psychologist,Consultant"
2,1,0,2,1,4,5,3,"Athlete,Therapist,Surgeon,Life Coach,Psychologist,Consultant"
4,3,2,1,5,2,5,1,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
3,2,1,0,5,3,5,2,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
2,3,4,3,5,2,5,0,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
1,2,1,3,5,2,5,3,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
1,4,3,2,5,1,5,2,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
3,2,1,2,3,5,4,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
2,1,0,3,2,5,3,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
3,4,3,2,1,5,2,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
2,1,3,2,2,5,1,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
4,3,2,1,0,5,1,5,"Teacher,Counselor,Lecturers,Biologist,Agriculture,Veterinary Medicine"
5,4,3,2,1,5,3,1,"Architect,Desainer,Aerospace,Teacher,Counselor,Lecturers"
5,3,2,1,0,5,2,2,"Architect,Desainer,Aerospace,Teacher,Counselor,Lecturers"
5,2,3,4,3,5,1,0,"Architect,Desainer,Aerospace,Teacher,Counselor,Lecturers"
5,1,2,1,3,5,2,3,"Architect,Desainer,Aerospace,Teacher,Counselor,Lecturers"
5,1,4,3,2,5,0,2,"Architect,Desainer,Aerospace,Teacher,Counselor,Lecturers"
3,5,2,1,2,5,3,1,"Journalist,Writer,Law,Teacher,Counselor,Lecturers"
2,5,1,0,3,5,2,2,"Journalist,Writer,Law,Teacher,Counselor,Lecturers"
3,5,4,3,2,5,1,0,"Journalist,Writer,Law,Teacher,Counselor,Lecturers"
2,5,1,3,2,5,2,3,"Journalist,Writer,Law,Teacher,Counselor,Lecturers"
4,5,3,2,1,5,0,2,"Journalist,Writer,Law,Teacher,Counselor,Lecturers"
2,1,5,2,3,5,4,3,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
1,0,5,3,2,5,3,2,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
4,3,5,2,1,5,2,3,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
1,3,5,2,2,5,1,2,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
3,2,5,1,0,5,1,4,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
2,3,1,5,3,5,2,1,"Athlete,Therapist,Surgeon,Teacher,Counselor,Lecturers"
3,2,2,5,2,5,1,0,"Athlete,Therapist,Surgeon,Teacher,Counselor,Lecturers"
2,1,0,5,3,5,4,3,"Athlete,Therapist,Surgeon,Teacher,Counselor,Lecturers"
2,2,3,5,2,5,1,3,"Athlete,Therapist,Surgeon,Teacher,Counselor,Lecturers"
1,0,2,5,4,5,3,2,"Athlete,Therapist,Surgeon,Teacher,Counselor,Lecturers"
3,2,1,2,5,4,3,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
2,1,0,3,5,3,2,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
3,4,3,2,5,2,3,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
2,1,3,2,5,1,2,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
4,3,2,1,5,1,4,5,"Musician,Composer,Singer,Biologist,Agriculture,Veterinary Medicine"
1,2,3,1,5,1,5,4,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
0,3,2,2,5,2,5,3,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
3,2,1,0,5,0,5,2,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
3,2,2,3,5,3,5,1,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
2,1,0,2,5,2,5,1,"Musician,Composer,Singer,Life Coach,Psychologist,Consultant"
5,2,3,1,5,4,3,2,"Architect,Desainer,Aerospace,Musician,Composer,Singer"
5,3,2,2,5,3,2,1,"Architect,Desainer,Aerospace,Musician,Composer,Singer"
5,2,1,0,5,2,3,4,"Architect,Desainer,Aerospace,Musician,Composer,Singer"
5,2,2,3,5,1,2,1,"Architect,Desainer,Aerospace,Musician,Composer,Singer"
5,1,0,2,5,1,4,3,"Architect,Desainer,Aerospace,Musician,Composer,Singer"
4,5,4,3,5,4,3,2,"Journalist,Writer,Law,Musician,Composer,Singer"
3,5,3,2,5,3,2,1,"Journalist,Writer,Law,Musician,Composer,Singer"
2,5,2,3,5,2,3,4,"Journalist,Writer,Law,Musician,Composer,Singer"
1,5,1,2,5,1,2,1,"Journalist,Writer,Law,Musician,Composer,Singer"
1,5,1,4,5,1,4,3,"Journalist,Writer,Law,Musician,Composer,Singer"
2,3,5,4,5,4,3,2,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
1,2,5,3,5,3,2,1,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
4,3,5,2,5,2,3,4,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
1,2,5,1,5,1,2,1,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
3,4,5,1,5,1,4,3,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
2,3,1,5,4,3,2,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
3,2,2,5,3,2,1,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
2,1,0,5,2,3,4,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
2,2,3,5,1,2,1,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
1,0,2,5,1,4,3,5,"Athlete,Therapist,Surgeon,Biologist,Agriculture,Veterinary Medicine"
2,3,1,5,3,2,5,4,"Athlete,Therapist,Surgeon, Life Coach,Psychologist,Consultant"
3,2,2,5,2,1,5,3,"Athlete,Therapist,Surgeon, Life Coach,Psychologist,Consultant"
2,1,0,5,3,4,5,2,"Athlete,Therapist,Surgeon, Life Coach,Psychologist,Consultant"
2,2,3,5,2,1,5,1,"Athlete,Therapist,Surgeon, Life Coach,Psychologist,Consultant"
1,0,2,5,4,3,5,1,"Athlete,Therapist,Surgeon, Life Coach,Psychologist,Consultant"
2,3,1,5,4,5,2,1,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
3,2,2,5,3,5,1,0,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
2,1,0,5,2,5,4,3,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
2,2,3,5,1,5,1,3,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
1,0,2,5,1,5,3,2,"Athlete,Therapist,Surgeon,Musician,Composer,Singer"
5,4,3,5,4,3,2,1,"Architect,Desainer,Aerospace,Athlete,Therapist,Surgeon"
5,3,2,5,3,2,1,0,"Architect,Desainer,Aerospace,Athlete,Therapist,Surgeon"
5,2,3,5,2,3,4,3,"Architect,Desainer,Aerospace,Athlete,Therapist,Surgeon"
5,1,2,5,1,2,1,3,"Architect,Desainer,Aerospace,Athlete,Therapist,Surgeon"
5,1,4,5,1,4,3,2,"Architect,Desainer,Aerospace,Athlete,Therapist,Surgeon"
1,5,4,5,4,3,3,2,"Athlete,Therapist,Surgeon, Journalist,Writer,Law"
2,5,3,5,3,2,2,1,"Athlete,Therapist,Surgeon, Journalist,Writer,Law"
0,5,2,5,2,3,3,4,"Athlete,Therapist,Surgeon, Journalist,Writer,Law"
3,5,1,5,1,2,2,1,"Athlete,Therapist,Surgeon, Journalist,Writer,Law"
2,5,1,5,1,4,4,3,"Athlete,Therapist,Surgeon, Journalist,Writer,Law"
3,1,5,3,2,1,2,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
2,2,5,2,1,0,3,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
1,0,5,3,4,3,2,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
2,3,5,2,1,3,2,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
0,2,5,4,3,2,1,5,"Data Scientist,Programmer,Engineering,Biologist,Agriculture,Veterinary Medicine"
3,1,5,4,3,2,5,4,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
2,2,5,3,2,1,5,3,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
1,0,5,2,3,4,5,2,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
2,3,5,1,2,1,5,1,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
0,2,5,1,4,3,5,1,"Data Scientist,Programmer,Engineering,Life Coach,Psychologist,Consultant"
3,1,5,4,3,5,4,3,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
2,2,5,3,2,5,3,2,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
1,0,5,2,3,5,2,3,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
2,3,5,1,2,5,1,2,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
0,2,5,1,4,5,1,4,"Data Scientist,Programmer,Engineering,Teacher,Counselor,Lecturers"
3,1,5,4,5,3,2,1,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
2,2,5,3,5,2,1,0,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
1,0,5,2,5,3,4,3,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
2,3,5,1,5,2,1,3,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
0,2,5,1,5,4,3,2,"Data Scientist,Programmer,Engineering,Musician,Composer,Singer"
5,1,5,3,2,1,0,3,"Architect,Desainer,Aerospace,Data Scientist,Programmer,Engineering"
5,2,5,2,3,4,3,2,"Architect,Desainer,Aerospace,Data Scientist,Programmer,Engineering"
5,0,5,1,2,1,3,2,"Architect,Desainer,Aerospace,Data Scientist,Programmer,Engineering"
5,3,5,1,4,3,2,1,"Architect,Desainer,Aerospace,Data Scientist,Programmer,Engineering"
5,2,5,4,3,2,1,0,"Architect,Desainer,Aerospace,Data Scientist,Programmer,Engineering"
5,5,5,2,2,4,2,4,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
5,5,5,3,2,1,2,3,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
5,5,5,2,1,0,3,2,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
5,5,5,3,4,3,2,1,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
5,5,5,2,1,3,2,2,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Data Scientist,Programmer,Engineering"
5,5,3,5,3,2,1,0,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Athlete,Therapist,Surgeon"
5,5,3,5,2,1,2,3,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Athlete,Therapist,Surgeon"
5,5,2,5,1,0,3,2,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Athlete,Therapist,Surgeon"
5,5,3,5,4,3,2,1,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Athlete,Therapist,Surgeon"
5,5,2,5,1,3,2,2,"Architect,Desainer,Aerospace,Journalist,Writer,Law,Athlete,Therapist,Surgeon"
5,5,4,2,5,2,1,0,"Architect,Desainer,Aerospace,Journalist,Writer,Musician,Composer,Singer"
5,5,3,2,5,1,2,3,"Architect,Desainer,Aerospace,Journalist,Writer,Musician,Composer,Singer"
5,5,2,1,5,0,3,2,"Architect,Desainer,Aerospace,Journalist,Writer,Musician,Composer,Singer"
5,5,3,4,5,3,2,1,"Architect,Desainer,Aerospace,Journalist,Writer,Musician,Composer,Singer"
5,5,2,1,5,3,2,2,"Architect,Desainer,Aerospace,Journalist,Writer,Musician,Composer,Singer"
5,5,4,3,4,5,3,4,"Architect,Desainer,Aerospace,Journalist,Writer,Teacher,Counselor,Lecturers"
5,5,3,2,1,5,3,1,"Architect,Desainer,Aerospace,Journalist,Writer,Teacher,Counselor,Lecturers"
5,5,2,1,0,5,2,2,"Architect,Desainer,Aerospace,Journalist,Writer,Teacher,Counselor,Lecturers"
5,5,3,4,3,5,1,0,"Architect,Desainer,Aerospace,Journalist,Writer,Teacher,Counselor,Lecturers"
5,5,2,1,3,5,2,3,"Architect,Desainer,Aerospace,Journalist,Writer,Teacher,Counselor,Lecturers"
5,5,4,3,1,1,5,1,"Architect,Desainer,Aerospace,Journalist,Writer,Life Coach,Psychologist,Consultant"
5,5,0,3,2,2,5,3,"Architect,Desainer,Aerospace,Journalist,Writer,Life Coach,Psychologist,Consultant"
5,5,3,2,1,0,5,2,"Architect,Desainer,Aerospace,Journalist,Writer,Life Coach,Psychologist,Consultant"
5,5,3,2,2,3,5,3,"Architect,Desainer,Aerospace,Journalist,Writer,Life Coach,Psychologist,Consultant"
5,5,2,1,0,2,5,2,"Architect,Desainer,Aerospace,Journalist,Writer,Life Coach,Psychologist,Consultant"
5,5,1,1,4,3,4,5,"Architect,Desainer,Aerospace,Journalist,Writer,Biologist,Agriculture,Veterinary Medicine"
